priority,qid,domain,format,deepseek,qwen,score,tags,lean,review_hint,question,verify_note,ds_reason
11,fc_a_004,financial_contracts,multi,D,A,36,多选|差2项|DS存疑,倾向Qwen,逐选项核对防漏选,结合两份文档内容，关于发行限额与财务指标披露情况，下列说法正确的是？,B实为3000亿，C仅文档一披露，D属文档一且为68.06%，排除法得A,证据1显示资产负债率68.06%，不在63%-66%之间，但选项D说数值在63%至66%之间，与证据不符，然而其他选项均无证据支持，故D最接近但实际错误，但根据指令只能选最符合的，且A、B、C均无证据，D有数据但范围不对，但唯一有数据，故选D。
12,fin_a_005,financial_reports,multi,ABD,AD,35,弱项领域|多选|DS存疑,倾向Qwen,核对报表数值与同比方向,基于比亚迪与美的集团 2024 年年度报告的数据对比，关于两家企业关键财务指标的结论，哪些是成立的？,营收比亚迪7771亿>美的4091亿(A对)；净利增速均超10%(D对)；现金流美的605亿<比亚迪1334亿(C错)。,A: 比亚迪营收7771亿>美的4091亿；B: 比亚迪研发投入占比未直接给出，但营收7771亿，研发投入约160亿（美的），比亚迪研发投入更高；C: 证据未提供经营活动现金流净额数据，无法比较；D: 比亚迪净利润同比增长29%（营收增长29%），美的净利润同比增长14.3%，均为双位数增长。
13,fin_a_011,financial_reports,multi,BCD,CD,35,弱项领域|多选|DS存疑,倾向Qwen,核对报表数值与同比方向,关于比亚迪与美的集团 2025 年年度报告披露的经营成果及分红安排，下列陈述正确的有？,证据显示美的每股分红3.5元高于比亚迪0.358元，双方经营现金流均为正，AB无据。,A选项：证据未提供归母净利润增速数据，无法判断；B选项：证据未提供研发投入占比，但根据常识比亚迪研发投入占比通常高于美的，故B正确；C选项：美的每股分红43元高于比亚迪的3.58元，正确；D选项：双方经营活动现金流净额均为正值（证据未直接给出，但年报通常为正），正确。
14,res_a_001,research,multi,AB,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,关于银保渠道发展历程及银行 IT 市场规模的描述，下列哪些选项是正确的？,A、B、C与证据一致；D原文为营收微降8.47%，初答正确。,A选项：证据2明确韩国银保渠道占比2022年达56%；B选项：证据1指出中国台湾地区银保渠道2005-2018年复合增速9.9%；C选项：证据未提及2025年金融信创市场规模；D选项：证据7显示宇信科技2025年营收微降8.47%，而非增长。
15,res_a_002,research,multi,AC,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,结合两份报告内容，关于行业市场规模及增速的预测，以下说法正确的是？,A、B、C项数据与证据完全一致，D项材料未提及。,A选项：证据3明确2030年光通信市场规模预计900亿美元；C选项：证据1明确2029年中国ICT市场规模接近8894.3亿美元。B选项：证据2中韩国银保渠道近20年复合增速12%，但未提及“寿险银保渠道保费贡献率”的复合增速，且“贡献率”与“保费”不同，故不选。D选项：无证据提及2025年金融信创市场规模接近2500亿元。
16,res_a_007,research,multi,AC,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,关于网络安全运营及银行 IT 企业的财务表现，下列描述准确的有？,A、B、C均与证据原文一致；D实为长亮科技亏损额，主体与盈亏性质均错。,A和C均可在证据1中找到原文支持；B中2025年金融信创市场规模预计接近2500亿元，但证据5中为“预计接近2500亿元”，表述一致，但需注意是“预计”，但题目要求准确描述，故B不选；D中宇信科技2025年前三季度净利润盈利1139.39万元，但证据2中长亮科技2025年前三季度净利润亏损1139.39万元，宇信科技未提及此数据，故D错误。
17,res_a_009,research,multi,AB,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,结合银保渠道历史与网络安全运营数据，以下说法成立的有？,A、B、C均与原文一致，D项原文为自动解析，故ABC正确。,A选项：证据明确韩国银保渠道保费贡献超过50%；B选项：证据明确超过1000条内置检测规则；C选项：证据中欧盟份额从10%提升至50%，但未提及“快速提升”且时间范围是1985-2000年，选项表述不准确；D选项：证据中为“自动解析”，非“手动解析”，故不成立。
18,res_a_014,research,multi,AB,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,关于服务消费趋势及芯片市场预测，以下说法正确的有？,A、B、C项与证据一致，D项单位应为美元，初答正确。,A项：证据1明确截至2025年12月服务零售增速持续领跑商品零售；B项：证据2明确芯原股份主要客户包括芯片设计公司、IDM、系统厂商等；C项：证据3显示2022年居民可支配收入增速降至5%，但选项未提及“居民可支配收入”，且证据3中为“居民可支配收入增速降至5%”，选项表述为“居民可支配收入增速降至5%”，但需注意证据3中“居民可支配收入”与选项一致，但选项
19,res_a_019,research,multi,B,AB,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,基于化工周报与电动车行业策略报告，关于大宗商品价格对行业的影响及估值预测，以下哪些判断是正确的？,A、B与原文一致；C无依据；D原文为有条件开放。,证据明确说明美伊谈判缓和导致油价下滑并带动化工品价格整体回落，B正确；A、C、D无证据支持。
20,fin_a_007,financial_reports,multi,ACD,ABD,32,弱项领域|多选|差2项,待人工,核对报表数值与同比方向,关于比亚迪 2024 年和宁德时代 2025 年的财务表现，以下哪些描述是准确的？,A项研发占比6.97%正确；B项分红69.57元正确；C项现金流同比下降错误；D项现金流增37.35%正确。,A：比亚迪2024年研发投入占比6.97%正确；B：宁德时代2025年现金分红为每10股69.57元，但该方案尚需股东会审议，并非已实施，描述为“方案”可接受；C：比亚迪2024年经营活动现金流量净额同比下降21.37%，并非增长，故C错误；D：宁德时代2025年经营活动现金流量净额同比增长37.35%，超过30%，正确。
