qid,domain,answer_format,type,answer,question_brief
fc_a_009,financial_contracts,multi,多选题,,对比文档 fc_text_002 和 fc_text_010 的内容，下列哪些陈
fc_a_010,financial_contracts,tf,判断题,,基于给定文档，判断陈述是否正确：文档 fc_text_006 中明确列出了转股价
fc_a_011,financial_contracts,multi,事实核对与属性比对,,关于文档中涉及的发行主体信息及文件基本要素，下列描述正确的有？
fc_a_012,financial_contracts,multi,数据趋势与条款细节比对,,结合两份文档内容，关于发行人责任承诺及财务指标的描述，下列选项正确的有？
fc_a_013,financial_contracts,tf,一致性校验,,根据提供的文档片段，判断以下陈述是否正确：两份文档均提及了董事及高级管理人员需对
fc_a_014,financial_contracts,multi,违约责任与条款细节比对,,对比两份文档中的违约责任与特殊条款，以下说法正确的有？
fc_a_015,financial_contracts,mcq,发行要素识别,,基于文档信息，关于两家发行人的债券发行要素，下列哪一项描述是准确的？
fc_a_016,financial_contracts,multi,clause_verification,,关于所涉可转换公司债券的发行条款与财务影响，以下哪些描述符合文档记载？
fc_a_017,financial_contracts,multi,clause_verification,,结合相关募集说明书内容，关于可转换债券的基本条款与发行信息，下列说法正确的是？
fc_a_018,financial_contracts,tf,time_comparison,,根据文档披露的时间信息，第二份文件中的可转债发行公告日期晚于第一份文件中的发行日
fc_a_019,financial_contracts,multi,data_consistency_check,,对比两份文档中的证券信息与财务数据披露情况，下列判断成立的是？
fc_a_020,financial_contracts,multi,clause_verification,,依据文档内容，关于可转换债券的初始转股价格及发行人信息，正确的陈述有？
fin_a_001,financial_reports,multi,财务指标对比分析,AB,根据比亚迪连续两年的年度报告，下列关于公司经营业绩变化的描述中，哪些是准确的？
fin_a_002,financial_reports,multi,财务指标对比分析,,结合宁德时代 2024 年及 2025 年年度报告，关于其财务表现与股东回报政策
fin_a_003,financial_reports,tf,财务数据一致性校验,,依据中国建筑 2024 年与 2025 年年度报告披露的信息，判断以下说法是否正
fin_a_004,financial_reports,multi,财务指标对比分析,,对照美的集团 2024 年与 2025 年年度报告，关于公司业绩增长与资金运作情
fin_a_005,financial_reports,multi,跨公司财务指标对比,ABD,基于比亚迪与美的集团 2024 年年度报告的数据对比，关于两家企业关键财务指标的
fin_a_006,financial_reports,tf,判断题,,根据提供的年度报告数据，比亚迪 2024 年经营活动产生的现金流量净额低于其营业
fin_a_007,financial_reports,multi,多选题,ABD,关于比亚迪 2024 年和宁德时代 2025 年的财务表现，以下哪些描述是准确的
fin_a_008,financial_reports,mcq,单选题,,结合两份年报信息，关于利润分配及研发投入的描述，下列哪一项是正确的？
fin_a_009,financial_reports,multi,多选题,,对比比亚迪 2024 年与中国移动 2025 年的相关财务指标，以下说法正确的有
fin_a_010,financial_reports,tf,判断题,,在提供的文档中，比亚迪 2025 年的研发投入占营业收入比例相较于 2024 年
fin_a_011,financial_reports,multi,多选题,CD,关于比亚迪与美的集团 2025 年年度报告披露的经营成果及分红安排，下列陈述正确
fin_a_012,financial_reports,multi,多选题,,对比比亚迪与中国移动 2025 年财务数据，以下结论成立的是？
fin_a_013,financial_reports,tf,判断题,,判断：宁德时代 2024 年度拟派发的每股现金分红金额高于比亚迪 2025 年度
fin_a_014,financial_reports,multi,多选题,AB,基于比亚迪与宁德时代 2025 年年报信息，关于业绩增长与分红政策的描述，正确的
fin_a_015,financial_reports,mcq,单选题,,依据宁德时代 2024 年与中国移动 2025 年年报，关于利润分配与营收情况的
fin_a_016,financial_reports,multi,财务分配政策比较,,关于宁德时代 2024 年年度报告与美的集团 2025 年年度报告中披露的利润分
fin_a_017,financial_reports,multi,财务现金流与分红比例核对,,对比宁德时代与中国建筑 2024 年年度报告中的财务及分配情况，下列描述准确的有
fin_a_018,financial_reports,tf,业绩增长趋势判断,,判断题：根据 2025 年年度报告，宁德时代与美的集团的营业收入均实现双位数增长
fin_a_019,financial_reports,multi,股东回报措施对比,,关于宁德时代 2025 年及美的集团 2024 年的股东回报措施，以下说法正确的
fin_a_020,financial_reports,multi,企业规模与研发投入分析,,基于宁德时代与中国移动 2025 年年度报告数据，关于企业规模与研发投入的描述，
res_a_001,research,multi,industry_comparison,ABC,关于银保渠道发展历程及银行 IT 市场规模的描述，下列哪些选项是正确的？
res_a_002,research,multi,market_forecast,ABC,结合两份报告内容，关于行业市场规模及增速的预测，以下说法正确的是？
res_a_003,research,tf,data_verification,,判断以下陈述是否正确：韩国寿险银保渠道近 20 年的复合增速低于远望谷在新兴赛道
res_a_004,research,multi,business_model,,关于芯原股份的业务模式及银保渠道发展情况，下列描述符合文档内容的是？
res_a_005,research,multi,economic_indicator,,基于消费与保险行业报告，关于经济增长指标及渠道贡献的说法，正确的有？
res_a_006,research,tf,financial_ratio,B,判断以下陈述是否正确：2008 年至 2025 年前三季度，我国上市券商客户资金
res_a_007,research,multi,tech_standard,ABC,关于网络安全运营及银行 IT 企业的财务表现，下列描述准确的有？
res_a_008,research,mcq,data_accuracy,,下列关于网络安全标准及光通信市场规模的描述，哪一项是正确的？
res_a_009,research,multi,cross_industry,ABC,结合银保渠道历史与网络安全运营数据，以下说法成立的有？
res_a_010,research,tf,fund_flow,,判断以下陈述是否正确：根据文档信息，上周新成立基金份额为 91.1 亿份，其中主
res_a_011,research,multi,brokerage_security,,关于券商杠杆变化及安全运营规则的统计，下列选项正确的有？
res_a_012,research,multi,chip_security,,关于芯片设计服务与安全运营数据的描述，符合文档内容的有？
res_a_013,research,tf,pet_market,,判断以下陈述是否正确：2025 年我国宠物医疗市场规模为人民币 2786 亿元，
res_a_014,research,multi,consumption_chip,ABC,关于服务消费趋势及芯片市场预测，以下说法正确的有？
res_a_015,research,mcq,bank_insurance,,基于金融机构配置线索及服务消费报告，下列哪项数据描述是准确的？
res_a_016,research,multi,多选题,,根据提供的两份报告，关于 2025 年至 2026 年初的经济与金融趋势，以下哪
res_a_017,research,multi,多选题,,结合产业前瞻与银行 IT 深度报告，关于 2025 年的市场容量或财务表现，以下
res_a_018,research,tf,判断题,,根据电动车行业策略与车展前瞻报告，2026 年 3 月乘用车新能源渗透率为 51
res_a_019,research,multi,多选题,AB,基于化工周报与电动车行业策略报告，关于大宗商品价格对行业的影响及估值预测，以下哪
res_a_020,research,multi,多选题,,综合电动车行业策略与集成电路深度报告，关于技术赛道预测及锂电估值，以下哪些信息是
