priority,qid,domain,format,deepseek,qwen,score,tags,lean,review_hint,question,verify_note,ds_reason
11,fc_a_004,financial_contracts,multi,D,A,36,多选|差2项|DS存疑,倾向Qwen,逐选项核对防漏选,结合两份文档内容，关于发行限额与财务指标披露情况，下列说法正确的是？,B实为3000亿，C仅文档一披露，D属文档一且为68.06%，排除法得A,证据1显示资产负债率68.06%，不在63%-66%之间，但选项D说数值在63%至66%之间，与证据不符，然而其他选项均无证据支持，故D最接近但实际错误，但根据指令只能选最符合的，且A、B、C均无证据，D有数据但范围不对，但唯一有数据，故选D。
12,fin_a_005,financial_reports,multi,ABD,AD,35,弱项领域|多选|DS存疑,倾向Qwen,核对报表数值与同比方向,基于比亚迪与美的集团 2024 年年度报告的数据对比，关于两家企业关键财务指标的结论，哪些是成立的？,营收比亚迪7771亿>美的4091亿(A对)；净利增速均超10%(D对)；现金流美的605亿<比亚迪1334亿(C错)。,A: 比亚迪营收7771亿>美的4091亿；B: 比亚迪研发投入占比未直接给出，但营收7771亿，研发投入约160亿（美的），比亚迪研发投入更高；C: 证据未提供经营活动现金流净额数据，无法比较；D: 比亚迪净利润同比增长29%（营收增长29%），美的净利润同比增长14.3%，均为双位数增长。
13,fin_a_011,financial_reports,multi,BCD,CD,35,弱项领域|多选|DS存疑,倾向Qwen,核对报表数值与同比方向,关于比亚迪与美的集团 2025 年年度报告披露的经营成果及分红安排，下列陈述正确的有？,证据显示美的每股分红3.5元高于比亚迪0.358元，双方经营现金流均为正，AB无据。,A选项：证据未提供归母净利润增速数据，无法判断；B选项：证据未提供研发投入占比，但根据常识比亚迪研发投入占比通常高于美的，故B正确；C选项：美的每股分红43元高于比亚迪的3.58元，正确；D选项：双方经营活动现金流净额均为正值（证据未直接给出，但年报通常为正），正确。
14,res_a_001,research,multi,AB,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,关于银保渠道发展历程及银行 IT 市场规模的描述，下列哪些选项是正确的？,A、B、C与证据一致；D原文为营收微降8.47%，初答正确。,A选项：证据2明确韩国银保渠道占比2022年达56%；B选项：证据1指出中国台湾地区银保渠道2005-2018年复合增速9.9%；C选项：证据未提及2025年金融信创市场规模；D选项：证据7显示宇信科技2025年营收微降8.47%，而非增长。
15,res_a_002,research,multi,AC,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,结合两份报告内容，关于行业市场规模及增速的预测，以下说法正确的是？,A、B、C项数据与证据完全一致，D项材料未提及。,A选项：证据3明确2030年光通信市场规模预计900亿美元；C选项：证据1明确2029年中国ICT市场规模接近8894.3亿美元。B选项：证据2中韩国银保渠道近20年复合增速12%，但未提及“寿险银保渠道保费贡献率”的复合增速，且“贡献率”与“保费”不同，故不选。D选项：无证据提及2025年金融信创市场规模接近2500亿元。
16,res_a_007,research,multi,AC,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,关于网络安全运营及银行 IT 企业的财务表现，下列描述准确的有？,A、B、C均与证据原文一致；D实为长亮科技亏损额，主体与盈亏性质均错。,A和C均可在证据1中找到原文支持；B中2025年金融信创市场规模预计接近2500亿元，但证据5中为“预计接近2500亿元”，表述一致，但需注意是“预计”，但题目要求准确描述，故B不选；D中宇信科技2025年前三季度净利润盈利1139.39万元，但证据2中长亮科技2025年前三季度净利润亏损1139.39万元，宇信科技未提及此数据，故D错误。
17,res_a_009,research,multi,AB,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,结合银保渠道历史与网络安全运营数据，以下说法成立的有？,A、B、C均与原文一致，D项原文为自动解析，故ABC正确。,A选项：证据明确韩国银保渠道保费贡献超过50%；B选项：证据明确超过1000条内置检测规则；C选项：证据中欧盟份额从10%提升至50%，但未提及“快速提升”且时间范围是1985-2000年，选项表述不准确；D选项：证据中为“自动解析”，非“手动解析”，故不成立。
18,res_a_014,research,multi,AB,ABC,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,关于服务消费趋势及芯片市场预测，以下说法正确的有？,A、B、C项与证据一致，D项单位应为美元，初答正确。,A项：证据1明确截至2025年12月服务零售增速持续领跑商品零售；B项：证据2明确芯原股份主要客户包括芯片设计公司、IDM、系统厂商等；C项：证据3显示2022年居民可支配收入增速降至5%，但选项未提及“居民可支配收入”，且证据3中为“居民可支配收入增速降至5%”，选项表述为“居民可支配收入增速降至5%”，但需注意证据3中“居民可支配收入”与选项一致，但选项
19,res_a_019,research,multi,B,AB,35,弱项领域|多选|DS存疑,倾向Qwen,注意否定词与时间口径,基于化工周报与电动车行业策略报告，关于大宗商品价格对行业的影响及估值预测，以下哪些判断是正确的？,A、B与原文一致；C无依据；D原文为有条件开放。,证据明确说明美伊谈判缓和导致油价下滑并带动化工品价格整体回落，B正确；A、C、D无证据支持。
20,fin_a_007,financial_reports,multi,ACD,ABD,32,弱项领域|多选|差2项,待人工,核对报表数值与同比方向,关于比亚迪 2024 年和宁德时代 2025 年的财务表现，以下哪些描述是准确的？,A项研发占比6.97%正确；B项分红69.57元正确；C项现金流同比下降错误；D项现金流增37.35%正确。,A：比亚迪2024年研发投入占比6.97%正确；B：宁德时代2025年现金分红为每10股69.57元，但该方案尚需股东会审议，并非已实施，描述为“方案”可接受；C：比亚迪2024年经营活动现金流量净额同比下降21.37%，并非增长，故C错误；D：宁德时代2025年经营活动现金流量净额同比增长37.35%，超过30%，正确。
21,fin_a_016,financial_reports,multi,AD,AB,32,弱项领域|多选|差2项,待人工,核对报表数值与同比方向,关于宁德时代 2024 年年度报告与美的集团 2025 年年度报告中披露的利润分配方案，以下说法正确的有？,证据明确A、B正确；C转增均为0；D无归母净利润数据，故AB正确。,"A正确：宁德时代2024年拟每10股派45.53元；B错误：美的集团2025年末拟每10股派38元，但全年合计每10股派43元（含中期5元），选项表述不完整；C错误：两家公司均未实施资本公积金转增股本；D正确：美的集团2025年现金分红与股份回购总金额43,965,949,849元，超过当年归母净利润（未直接给出，但可推断）。"
22,fin_a_019,financial_reports,multi,AC,AB,32,弱项领域|多选|差2项,待人工,核对报表数值与同比方向,关于宁德时代 2025 年及美的集团 2024 年的股东回报措施，以下说法正确的有？,A、B与证据一致；C实为69.57元；D收入4091亿未超4500亿。,A正确：证据显示宁德时代2025年以净利润50%实施现金分红；C正确：每10股派发现金分红69.57元，非38元；B错误：美的自2019年起连续四年推出回购计划，但题干为2024年，且证据未明确连续四年；D错误：美的2024年收入4091亿元，未超过4500亿元。
23,fc_a_009,financial_contracts,multi,ABD,AB,31,多选|DS存疑,倾向Qwen,逐选项核对防漏选,对比文档 fc_text_002 和 fc_text_010 的内容，下列哪些陈述符合文档披露的事实？,证据3证实A，证据1证实B；C、D在给定证据中无依据，初答正确。,A：证据1显示发行人主体评级AA+；B：证据2明确力诺投资资产负债率43.24%；C：证据6未提及发行金额上限10亿元，且无其他证据支持；D：证据4、5、7、8均包含违约或补偿条款（赔偿责任）。
24,fc_a_011,financial_contracts,multi,AB,A,31,多选|DS存疑,倾向Qwen,逐选项核对防漏选,关于文档中涉及的发行主体信息及文件基本要素，下列描述正确的有？,仅A有明确证据支持；B/C/D无依据或与文件性质不符。,A选项：证据1显示发行人名称包含“深圳市融资租赁”；B选项：证据4明确证券上市地点为深圳证券交易所；C选项：证据未提及发行金额上限10亿元；D选项：证据6显示文件类型为“科技创新公司债券募集说明书”，而非“面向专业投资者的债券募集说明书”。
25,fc_a_014,financial_contracts,multi,AB,B,31,多选|DS存疑,倾向Qwen,逐选项核对防漏选,对比两份文档中的违约责任与特殊条款，以下说法正确的有？,证据1明确通知期10日，B对D错；证据7主兑付日为2036年，C错；A无据。,A项：fc_text_003中违约金计算基数为“延迟支付的本金和利息”，包含本金和利息；B项：fc_text_008规定甲方应在报告出具之日起10日内通知；C项：证据未提及兑付日；D项：5日是乙方收到通知后的回复期限，非通知期限。
26,fc_a_019,financial_contracts,multi,BD,D,31,多选|DS存疑,倾向Qwen,逐选项核对防漏选,对比两份文档中的证券信息与财务数据披露情况，下列判断成立的是？,证据明确第二份文档主体为安克创新，其余选项数据及代码在证据中均未提及。,B选项：第二份文档（text04）第38页列示了资产负债率数值5.70%和35.83%？实际未直接给出，但证据中无具体数值，故B不成立？重新检查：证据中未出现5.70%和35.83%，但选项B声称有，证据不足，但根据指令“证据不足时也要选出最符合证据的答案”，且其他选项明显错误，故B可能正确？实际上证据中未出现，但题目要求严谨，B无证据支持，应排除。但D选项
27,ins_a_018,insurance,multi,D,BCD,28,多选|差2项|DS存疑,倾向Qwen,逐选项核对防漏选,关于“免赔额”的抵扣，以下哪些说法正确？,证据明确统筹账户不可抵扣，个人账户及其他途径可抵扣，重疾险无免赔额，BCD正确。,平安安佑福重疾险条款未提及免赔额，属于定额给付型重疾险，无免赔额概念。
28,reg_a_005,regulatory,multi,A,ABC,28,多选|差2项|DS存疑,倾向Qwen,逐选项核对防漏选,结合《金融机构客户受益所有人识别管理办法》与《非银行支付机构监督管理条例实施细则》，以下说法正确的有？,A、B、C与证据一致；D项非重大差异无需提交报告，仅需记录并提示。,A选项：证据中未提及高级管理人员调任需报告，但根据常识，调任无需变更申请，且10日内报告常见，但证据不足，故不选；B选项：证据未要求上市公司受益所有人留存照片；C选项：证据未提及30个自然日公示；D选项：证据8规定非重大差异应记录而非提交差异报告，且时限为30个工作日，但选项说“提交差异报告”错误。只有A可能正确，但证据不足，按规则选最符合的A。
29,fin_a_002,financial_reports,multi,AB,ABD,27,弱项领域|多选,待人工,核对报表数值与同比方向,结合宁德时代 2024 年及 2025 年年度报告，关于其财务表现与股东回报政策的陈述，哪些符合事实？,A销售规模增长；B拟分红361亿超24年；C现金流增37.35%；D按净利50%分红。,A: 2025年营收增长（证据4显示研发投入占营收比例5.23%高于2024年5.14%，且经营活动现金流净额增长37.35%，隐含营收增长）；B: 2025年拟派发现金分红总额（含中期）约404.86亿元，高于2024年方案（年度+特别合计约253.72亿元）；C: 经营活动现金流量净额2025年1332亿高于2024年970亿，增加而非减少；D: 202
30,fin_a_004,financial_reports,multi,D,BD,27,弱项领域|多选,待人工,核对报表数值与同比方向,对照美的集团 2024 年与 2025 年年度报告，关于公司业绩增长与资金运作情况的描述，哪些是正确的？,B项现金流净额同比下降属实；D项原文直述且数据吻合；A增速无据，C占比下降。,A错误：2025年营收增长率12.11%低于2024年9.5%？实际2025年12.11%高于2024年9.5%，但证据显示2025年同比12.11%，2024年同比9.5%，故A正确？需再核对：2024年营收4091亿，2025年4585亿，增长率12.1%高于9.5%，但选项A说2025年增长率高于2024年，正确。但证据中2024年增长率9.5%来自证
31,fin_a_009,financial_reports,multi,BC,ABC,27,弱项领域|多选,待人工,核对报表数值与同比方向,对比比亚迪 2024 年与中国移动 2025 年的相关财务指标，以下说法正确的有哪些？,A营收超1万亿对；B研发占比6.97%>2.8%对；C现金流均正对；D净利增-0.9%错。,"A错误：中国移动2025年营业收入1,050,187百万元即1.05万亿元，超过1万亿元，但证据显示为1,050,187百万元，即1.050187万亿元，确实超过1万亿元，但选项A表述为“超过1万亿元人民币”，实际为1.05万亿元，符合，但需注意单位：1,050,187百万元=1.050187万亿元，超过1万亿元，所以A正确？但证据显示营业收入为1,050,"
32,fin_a_012,financial_reports,multi,AD,ABD,27,弱项领域|多选,待人工,核对报表数值与同比方向,对比比亚迪与中国移动 2025 年财务数据，以下结论成立的是？,移动营收更大；比亚迪净利降18.97%超15%；移动研发占比2.8%更低；经营现金流均降。,A: 中国移动营收规模（未直接给出，但资产总额2万亿，营收应大于比亚迪）；B: 比亚迪净利润降幅未提供；C: 中国移动研发费用占比2.8%，比亚迪未提供占比；D: 两家公司经营活动现金流净额同比均下降（中国移动-26.2%，比亚迪-55.69%）。
33,fin_a_020,financial_reports,multi,A,AB,27,弱项领域|多选,待人工,核对报表数值与同比方向,基于宁德时代与中国移动 2025 年年度报告数据，关于企业规模与研发投入的描述，正确的选项是？,A营收超两倍正确；B现金流1332亿正确；C占比实为2.8%；D占比实为30.6%。,中国移动营收10501.87亿元，宁德时代营收4237.02亿元，前者是后者的2.48倍，超过两倍。
34,res_a_004,research,multi,A,AB,27,弱项领域|多选,待人工,注意否定词与时间口径,关于芯原股份的业务模式及银保渠道发展情况，下列描述符合文档内容的是？,A、B与原文一致；C错在管理体系应为保费增长；D错在全球第一应为第八。,证据8明确说明芯原股份提供芯片定制服务和半导体IP授权服务，符合选项A。
35,res_a_005,research,multi,AC,ABC,27,弱项领域|多选,待人工,注意否定词与时间口径,基于消费与保险行业报告，关于经济增长指标及渠道贡献的说法，正确的有？,A、B、C均与原文一致，D项原文为“由正转负”，选项相反，故ABC正确。,A项：证据1明确服务零售累计同比高出商品零售1.7pcts；C项：证据2明确2022年居民可支配收入增速降至5%。B项：证据3显示韩国银保渠道保费贡献超过50%，但未明确限定为寿险，且证据3标题为“韩国寿险业”，但正文未明确“寿险银保渠道”，故不选；D项：证据2显示2025年剪刀差由正转负，而非由负转正。
36,res_a_012,research,multi,AB,ABC,27,弱项领域|多选,待人工,注意否定词与时间口径,关于芯片设计服务与安全运营数据的描述，符合文档内容的有？,A、B、C与原文一致，D项原文为自动解析，初答正确。,A选项与证据4、5、6一致；B选项与证据1一致；C选项证据2中为4930亿美元，但未明确是2030年数据中心半导体加速市场规模，且证据2中为“数据中心半导体加速市场规模”，选项表述有歧义，但证据2明确提到“2030年数据中心半导体加速市场规模将达4930亿美元”，故C正确？但需注意：证据2原文为“据Yole预测，2030年数据中心半导体加速市场规模将达493
37,res_a_017,research,multi,A,AB,27,弱项领域|多选,待人工,注意否定词与时间口径,结合产业前瞻与银行 IT 深度报告，关于 2025 年的市场容量或财务表现，以下哪项陈述是准确的？,A、B项原文直接支持；C项仅含2024年前数据；D项无相关表述。,证据3明确提到2025年金融信创市场规模预计接近2500亿元，与选项A一致。
38,fc_a_008,financial_contracts,mcq,C,B,26,差2项|DS存疑,倾向Qwen,,结合文档 fc_text_002 和 fc_text_003 的信息，以下哪项描述准确反映了其中关于违约赔偿或发行规模的细节？,证据4明确记载text03违约金公式含150%系数，B正确；A/C/D无证据支持。,证据1和证据2均明确fc_text_003中主体信用评级为AAA，而fc_text_002未提及评级，故C正确。
39,fc_a_012,financial_contracts,multi,CD,ACD,23,多选,待人工,逐选项核对防漏选,结合两份文档内容，关于发行人责任承诺及财务指标的描述，下列选项正确的有？,A/C/D与证据一致；B项证据明确利润总额提高，故排除。,A选项正确，证据1明确回售或赎回部分债券兑付日为2031年4月23日；B选项错误，证据6显示利润总额有所提高，并非逐年下降；C选项正确，证据6显示资产负债率从66.38%降至63.51%，总体下降；D选项正确，证据4和证据7均显示违约金计算包含150%系数。
40,ins_a_008,insurance,multi,AC,ABC,23,多选|DS存疑,倾向Qwen,逐选项核对防漏选,关于“特定药品费用”的报销，下列哪些说法符合条款规定？,A符合指定药店与处方审核；B仅含身故重疾定额给付；C需处方审核且直付；D限目录非全包。,A符合众安白血病医疗险条款中指定药店和处方审核要求；C符合平安e生保条款中处方审核和直接结算规定；B平安安佑福重疾险条款未提及院外特定药品费用，故不涵盖；D太保团体百万医疗条款未涵盖所有院外药品费用，仅限特定药品。
41,reg_a_002,regulatory,multi,AC,ABC,23,多选|DS存疑,倾向Qwen,逐选项核对防漏选,结合《中华人民共和国反洗钱法》与《金融机构客户受益所有人识别管理办法》，下列关于金融机构义务的说法中，正确的有？,A、B、C项与法条一致，D项期限应为2年，初答正确。,A项符合反洗钱法第三十四条；C项符合反洗钱法关于保密的规定；B项无证据支持30个工作日；D项无证据支持1年内完成。
42,reg_a_011,regulatory,multi,AD,ACD,23,多选|DS存疑,倾向Qwen,逐选项核对防漏选,根据相关监管规定，下列哪些情形需要履行特定的内部审批程序或满足特定金额门槛？,A、C、D均与证据条文一致，B项违反禁止性规定，初答正确。,A符合证据8；B与证据4中“不得与空壳银行建立代理行”冲突；C无证据支持1万元以上需核实身份；D符合证据3。
43,reg_a_019,regulatory,multi,ABD,BD,23,多选|DS存疑,倾向Qwen,逐选项核对防漏选,结合证券公司分类监管规定与市场禁入决定书的案例背景，以下关于违规处理及后果的说法中，正确的有？,证据3支持B，证据1支持D；A无依据，C与证据4扣分规定相悖。初答正确。,A选项：证据未提及施行日期，但根据常识新规通常自发布之日起施行，且无相反证据，故A正确；B选项：涉及重大资产重组应披露关联交易，符合一般法规要求；C选项：证据显示被行政处罚可能影响分类评价，故C错误；D选项：金洲慈航董事长被认定为直接负责的主管人员，符合案例背景。
44,fin_a_008,financial_reports,mcq,A,D,22,弱项领域|差2项,待人工,核对报表数值与同比方向,结合两份年报信息，关于利润分配及研发投入的描述，下列哪一项是正确的？,证据载明每10股派45.53元，D数值唯一匹配；A/C无据，B实际分红比例为50%。,选项A未在证据中找到对应数值，但其他选项均与证据不符；B中宁德时代现金分红占归母净利润比例为50%而非20%；C中比亚迪净利润未提供；D中每股派发现金分红应为4.553元而非45.53元。因此A最可能正确。
45,fin_a_015,financial_reports,mcq,D,A,22,弱项领域|差2项,待人工,核对报表数值与同比方向,依据宁德时代 2024 年与中国移动 2025 年年报，关于利润分配与营收情况的单一正确描述是？,B为净利润降0.9%；C每股4.55元；D研发占比2.8%；A符合原文。,中国移动2025年研发费用占营业收入比重为2.8%，低于5%，故D选项错误；但其他选项均与证据不符，D为最符合的选项。
46,fin_a_018,financial_reports,tf,A,B,22,弱项领域|差2项,待人工,核对报表数值与同比方向,判断题：根据 2025 年年度报告，宁德时代与美的集团的营业收入均实现双位数增长，且宁德时代的净利润增速高于美的集团。,证据未披露宁德时代净利润增速，无法验证题干比较结论，故判错。,美的营收增长12%，宁德时代营收增长17.04%，均为双位数增长；宁德时代净利润增速（未直接给出，但销量增长近4成，且营收增速高于美的，推断净利润增速更高）
47,res_a_003,research,tf,B,A,22,弱项领域|差2项,待人工,注意否定词与时间口径,判断以下陈述是否正确：韩国寿险银保渠道近 20 年的复合增速低于远望谷在新兴赛道的 RFID 标签出货量复合增速。,韩国银保CAGR为12%，RFID新兴赛道CAGR超14.1%（细分达20%+），前者低于后者，陈述正确。,韩国寿险银保渠道近20年复合增速为12%，而远望谷所在的新兴赛道RFID标签出货量复合增速为14.1%，后者更高，故陈述错误。
48,res_a_018,research,tf,B,A,22,弱项领域|差2项,待人工,注意否定词与时间口径,根据电动车行业策略与车展前瞻报告，2026 年 3 月乘用车新能源渗透率为 51.5%，且 2026 年 1 月宁德时代市占率回升至 25%，该说法是否正确？,证据1/2/3证实3月渗透率51.5%，证据4/5证实1月宁德市占率25%，说法正确。,证据1显示2026年3月乘用车新能源渗透率为51.5%，但证据2中宁德时代市占率回升至25%是针对储能电池市场，而非乘用车市场，问题混淆了储能与乘用车领域，因此说法错误。
49,reg_a_001,regulatory,multi,D,ACD,20,多选|差2项,待人工,逐选项核对防漏选,关于《金融机构客户受益所有人识别管理办法》与《金融机构客户尽职调查和客户身份资料及交易记录保存管理办法》的实施要求，下列说法正确的有？,A/C/D均与证据条款及施行日期完全一致，B无依据且违背常规尽调要求。,《金融机构客户尽职调查和客户身份资料及交易记录保存管理办法》施行日期为2026年1月1日，早于《金融机构客户受益所有人识别管理办法》的2026年1月20日，故D正确。A、B、C选项在证据中无对应规定。
50,reg_a_004,regulatory,multi,A,ABC,20,多选|差2项,待人工,逐选项核对防漏选,关于金融机构及银行卡清算机构的报告时限要求，下列说法正确的有？,A、B、C项时限与条文一致；D项全部存量客户核实时限为2年，非6个月。,A项符合第二十六条关于董事和高级管理人员职务变动7日内报告的规定；B项应为30个工作日，但证据2中仅对重大差异要求30个工作日，非重大差异也需30日记录，但B项表述正确；C项证据5要求至少提前30日向中国人民银行报告，但未明确向住所地分支机构报告，且证据8为境外机构终止服务报告，故C项不准确；D项证据6要求较高风险以上存量客户6个月内完成，而非全部存量客户，
51,fc_a_006,financial_contracts,tf,A,B,18,差2项,待人工,,文档 fc_text_001 和 fc_text_004 均提及了涉及债券持有人权利的保护性条款，如回售选择权或相关赎回安排。,text01含回售条款，text04全为商标信息，无债券内容，故判断错误。,证据8明确提及回售选择权，属于债券持有人权利的保护性条款，因此判断正确。
52,fc_a_013,financial_contracts,tf,B,A,18,差2项,待人工,,根据提供的文档片段，判断以下陈述是否正确：两份文档均提及了董事及高级管理人员需对文件内容的真实性承担责任，且其中一份文档披露了标的公司控股股东力诺投资的资产负债,证据3、4证实两文档均提及董高担责，证据1明确力诺投资资产负债率43.24%，陈述正确。,证据1和2显示力诺投资资产负债率为43.24%，证据4和3显示两份文档均提及董事及高管对文件真实性承担责任，但证据3来自text03，并非与证据1同一份文档，因此陈述正确。
53,ins_a_005,insurance,multi,AB,ABC,15,多选,待人工,逐选项核对防漏选,下列哪些情形属于相应保险产品的免责范围？,证据2/4/3明确A/B免责；证据6限定指定单位接种，C不符不赔；D属保障。,A选项酒后驾驶属于平安智盈金生失能失智护理保险的免责情形；B选项非输血等途径的艾滋病感染属于平安安佑福重疾险的免责情形；C选项在无接种条件的单位接种属于预防接种意外险的保障范围而非免责；D选项食品超过保质期不属于众安食责险的免责范围，条款未明确排除。
54,reg_a_009,regulatory,multi,BD,ABD,15,多选,待人工,逐选项核对防漏选,结合《中国人民银行业务领域数据安全管理办法》与《金融机构客户尽职调查和客户身份资料及交易记录保存管理办法》，以下说法正确的是？,A、B、D均与证据原文严格对应，C违反资料保存规定且无依据，初答正确。,A选项未在证据中找到明确依据；B选项符合核心数据提供需经风险评估的规定；C选项违反客户身份资料保存要求；D选项符合从轻减轻处罚的规定。
55,ins_a_006,insurance,mcq,C,A,10,差2项,待人工,,王某投保了平安e生保（计划一：免赔额1万元，家庭共享）和太保团体百万医疗（免赔额1万元）。王某家庭三人同时参保e生保计划一，共享免赔额。某年度，王某本人发生医疗,医保不抵免赔。e生保共享免赔1万赔1.1万；太保王某自付1.2万扣1万赔0.2万。,e生保家庭共享免赔额1万元，王某个人自付1.2万元（2万-0.8万），配偶自付0.9万元（1.5万-0.6万），合计2.1万元，扣除免赔额1万元后剩余1.1万元，e生保赔付1.1万元；太保免赔额1万元，王某个人自付1.2万元，但e生保已赔付1.1万元，剩余0.1万元未达免赔额，故太保赔付0元。
